İKİ	miqd_say.;zer.;
İKİFAİZLİ	sif.;
İKİFOKUSLU	sif.;
İKİFİKİRLİ	sif.;
İKİFİKİRLİ	sif.;
İKİFİKİRLİLİK	is.;
İKİFİKİRLİLİK	is.;
İKİGAVAHINLI	sif.;
İKİGAVAHINLI	sif.;
İKİGEDİŞLİ	sif.;
İKİGÖVDƏLİ	sif.;
İKİGÖVDƏLİ	sif.;
İKİGÖYƏRTƏLİ	sif.;
İKİGÖYƏRTƏLİ	sif.;
İKİGÖZ	sif.;
İKİGÖZLÜ	sif.;
İKİGÖZLÜ	sif.;
İKİGÜNLÜK	sif.;
İKİGÜNLÜK	sif.;
İKİGÜVƏNLİ	sif.;
İKİGÜVƏNLİ	sif.;
İKİGÜZGÜLÜ	sif.;
İKİGÜZGÜLÜ	sif.;
İKİGİRİŞLİ	sif.;
İKİHAKİMLİLİK	is.;
İKİHAKİMİYYƏTLİLİK	is.;
İKİHAKİMİYYƏTLİLİK	is.;
İKİHALOGENLİ	is.;
İKİHAÇA	sif.;
İKİHAÇA(LI)	sif.;zer.;
İKİHAÇA(LI)	sif.;zer.;
İKİHAÇALI	sif.;
İKİHECALI	sif.;
İKİHECALI	sif.;
İKİHÖKUMƏTLİ	sif.;
İKİHÖKUMƏTLİLİK	is.;
İKİHÖKUMƏTLİLİK	is.;
İKİHÜRGÜCLÜ	sif.;
İKİHÜRGÜCLÜ	sif.;
İKİHİSSƏLİ	sif.;
İKİHİSSƏLİ	sif.;
İKİHƏDLİ	sif.;
İKİHƏDLİ	sif.;
İKİHƏFTƏLİK	sif.;
İKİHƏFTƏLİK	sif.;
İKİHƏRƏKƏTLİ	sif.;
İKİHƏRƏKƏTLİLİK	is.;
İKİHƏRƏKƏTLİLƏR	is.;
İKİHƏRƏKƏTLİLƏR	is.;
İKİKAMERALI	sif.;
İKİKAMERALI	sif.;
İKİKANALLI	sif.;
İKİKANALLI	sif.;
İKİKASKADLI	sif.;
İKİKEÇİDLİ	sif.;
İKİKOMPLEKTLİ	sif.;
İKİKOMPONENTLİ	sif.;
İKİKONTAKTLI	sif.;
İKİKONTURLU	sif.;
İKİKONUSLU	sif.;
İKİKONUSLU	sif.;
İKİKORPUSLU	sif.;
İKİKİLOMETRLİK	sif.;
İKİKİLOMETRLİK	sif.;
İKİKİLOQRAMLIQ	sif.;
İKİKİLOQRAMLIQ	sif.;
İKİKƏSİCİDİŞLİLƏR	is.;
İKİKƏSİCİDİŞLİLƏR	is.;
İKİKƏSİMLİ	sif.;
İKİLAMPALI	sif.;
İKİLAMPALI	sif.;
İKİLAYLI	sif.;
İKİLAYLI	sif.;
İKİLÖVBƏRLİ	sif.;
İKİLÜLƏ	is.;
İKİLÜLƏ(Lİ)	sif.;
İKİLÜLƏ(Lİ)	sif.;
İKİLÜLƏLİ	sif.;
İKİLİ	zer.;
İKİLİ	zer.;
İKİLİ-BİRLİ	zer.;
İKİLİBAŞLI	zer.;
İKİLİBAŞLI	zer.;
İKİLİK	f.;is.;sif.;
İKİLİK	f.;is.;sif.;
İKİLİKDƏ	zer.;
İKİLİKDƏ	zer.;
İKİLİNGLİ	sif.;
İKİLİTRLİK	sif.;
İKİLİTRLİK	sif.;
İKİLƏ	f.;
İKİLƏMƏ	f_is.;
İKİLƏMƏ	f_is.;
İKİLƏMƏK	f.;
İKİLƏMƏK	f.;
İKİLƏN	f.;
İKİLƏNMƏ	f_is.;
İKİLƏNMƏ	f_is.;
İKİLƏNMƏK	mech.;
İKİLƏNMƏK	mech.;
İKİLƏPƏLİ	sif.;
İKİLƏPƏLİ	sif.;
İKİLƏPƏLİLİK	is.;
İKİLƏPƏLİLƏR	is.;
İKİLƏPƏLİLƏR	is.;
İKİLƏT	f.;
İKİLƏTMƏ	f_is.;
İKİLƏTMƏ	f_is.;
İKİLƏTMƏK	f.;
İKİLƏTMƏK	f.;
İKİLƏYİCİ	is.;
İKİLƏÇƏKLİ	sif.;
İKİLƏÇƏKLİ	sif.;
İKİLƏŞ	f.;
İKİLƏŞDİR	f.;
İKİLƏŞDİRMƏ	f_is.;
İKİLƏŞDİRMƏ	f_is.;
İKİLƏŞDİRMƏK	f.;
İKİLƏŞDİRMƏK	f.;
İKİLƏŞMİŞ	f_sif.;
İKİLƏŞMƏ	f_is.;
İKİLƏŞMƏ	f_is.;
İKİLƏŞMƏK	f.;
İKİLƏŞMƏK	f.;
İKİMAHMIZLI	sif.;
İKİMANATLIQ	sif.;
İKİMANATLIQ	sif.;
İKİMAQNİTLİ	sif.;
İKİMARŞLI	sif.;
İKİMAYELİ	sif.;
İKİMEMBRANLI	sif.;
İKİMETRLİK	sif.;
İKİMETRLİK	sif.;
İKİMOMENTLİ	sif.;
İKİMOTORLU	sif.;
İKİMOTORLU	sif.;
İKİMÖVQELİ	sif.;
İKİMİL	sif.;
İKİMİL(Lİ)	sif.;
İKİMİL(Lİ)	sif.;
İKİMİLLİ	sif.;
İKİMƏFTİLLİ	sif.;
İKİMƏHSULLU	sif.;
İKİMƏHSULLU	sif.;
İKİMƏNALI	sif.;
İKİMƏNALI	sif.;
İKİMƏNALILIQ	is.;
İKİMƏNALILIQ	is.;
İKİMƏNZİLLİ	sif.;
İKİMƏNZİLLİ	sif.;
İKİMƏRKƏZLİ	sif.;
İKİMƏRTƏBƏ	sif.;
İKİMƏRTƏBƏ(Lİ)	sif.;
İKİMƏRTƏBƏ(Lİ)	sif.;
İKİMƏRTƏBƏLİ	sif.;
İKİNCİ	f.;
İKİNCİ	f.;
İKİNCİDƏRƏCƏLİ	sif.;
İKİNCİLİ	sif.;
İKİNCİLİK	is.;
İKİNCİLİK	is.;
İKİNCİSİZ	sif.;
İKİNCİSİZ	sif.;
İKİNDİ	zer.;
İKİNDİ	zer.;
İKİNOXTALI	sif.;
İKİNÖVBƏLİ	sif.;
İKİNÖVBƏLİ	sif.;
İKİNÖVCÜLÜK	is.;
İKİNÖVLÜ	sif.;
İKİNÖVÇÜ	is.;
İKİNİKAHLI	sif.;
İKİNƏFƏRLİK	sif.;
İKİNƏFƏRLİK	sif.;
İKİOBYEKTLİ	sif.;
İKİORDENLİ	sif.;
İKİOTAQLI	sif.;
İKİOTAQLI	sif.;
İKİOXLU	sif.;
İKİOXLU	sif.;
İKİOYNAQLI	sif.;
İKİPALATALI	sif.;
İKİPALATALI	sif.;
İKİPANELLİ	sif.;
İKİPARTİYALI	sif.;
İKİPARTİYALI	sif.;
İKİPARTİYALILIQ	is.;
İKİPARTİYALILIQ	is.;
İKİPAYLI	sif.;
İKİPLANLI	sif.;
İKİPLANLI	sif.;
İKİPROQRAMLI	sif.;
İKİPRİZMALI	sif.;
İKİPRİZMALI	sif.;
İKİPRİZMALILIQ	is.;
İKİPUDLUQ	sif.;
İKİPUDLUQ	sif.;
İKİPİLLƏLİ	sif.;
İKİPİLLƏLİ	sif.;
İKİPİLLƏLİK	is.;
İKİPƏNCƏLİ	sif.;
İKİPƏNCƏRƏLİ	sif.;
İKİPƏNCƏRƏLİ	sif.;
İKİPƏRDƏLİ	sif.;
İKİPƏRDƏLİ	sif.;
İKİPƏRLİ	sif.;
İKİPƏRLİ	sif.;
İKİQADAQLI	sif.;
İKİQANADLI	sif.;
İKİQANADLI	sif.;
İKİQANADLILAR	is.;
İKİQANADLILAR	is.;
İKİQAPAQ	sif.;
İKİQAPAQLI	is.;
İKİQAPAQLI	is.;
İKİQAT	sif.;zer.;
İKİQAT	sif.;zer.;
İKİQATLI	sif.;
İKİQATLI	sif.;
İKİQILÇALI	sif.;
İKİQILÇIQLI	sif.;
İKİQIÇLI	sif.;
İKİQIÇLI	sif.;
İKİQOLLU	sif.;
İKİQOLLU	sif.;
İKİQRUPLU	sif.;
İKİQULPLU	sif.;
İKİQULPLU	sif.;
İKİQÜBBƏLİ	sif.;
İKİQÜTBLÜ	sif.;
İKİQİYMƏTLİ	sif.;
İKİQİYMƏTLİ	sif.;
İKİQƏLSƏMƏLİ	sif.;
İKİQƏLSƏMƏLİLƏR	is.;
İKİQƏLSƏMƏLİLƏR	is.;
İKİQƏPİKLİK	is.;
İKİQƏPİKLİK	is.;
İKİROTORLU	sif.;
İKİRƏNG	sif.;
İKİRƏNG(Lİ)	sif.;
İKİRƏNG(Lİ)	sif.;
İKİRƏNGLİ	sif.;
İKİRƏNGLİLİK	is.;
İKİRƏNGLİLİK	is.;
İKİRƏQƏMLİ	sif.;
İKİRƏQƏMLİ	sif.;
İKİSAATLIQ	sif.;
İKİSAATLIQ	sif.;
İKİSALONLU	sif.;
İKİSAPLI	sif.;
İKİSAPLI	sif.;
İKİSAÇLI	sif.;
İKİSAİTLİ	sif.;
İKİSEKSİYALI	sif.;
İKİSEQMENTLİ	sif.;
İKİSERİYALI	sif.;
İKİSIRA	sif.;
İKİSIRALI	sif.;
İKİSOBALI	sif.;
İKİSORMACLI	sif.;
İKİSORMACLILAR	is.;
İKİSORMACLILAR	is.;
İKİSÜRƏTLİ	sif.;
İKİSÜTUNLU	sif.;
İKİSİFƏTLİ	sif.;
İKİSİFƏTLİLİK	is.;
İKİSİLİNDRLİ	sif.;
İKİSİLİNDRLİ	sif.;
İKİSİMLİ	sif.;
İKİSİMLİ	sif.;
İKİSİMMETRİYALI	sif.;
İKİSİNİFLİ	sif.;
İKİSİNİFLİ	sif.;
İKİSƏSLİ	sif.;
İKİSƏSLİ	sif.;
İKİSƏSLİLİK	is.;
İKİSƏTİRLİ	sif.;
İKİSƏTİRLİK	sif.;
İKİSƏTİRLİK	sif.;
İKİSƏVİYYƏLİ	sif.;
İKİTACLI	sif.;
İKİTAKTLI	sif.;
İKİTAKTLI	sif.;
İKİTARLALI	sif.;
İKİTARLALI	sif.;
İKİTARLALIQ	is.;
İKİTARLALIQ	is.;
İKİTAVRLI	sif.;
İKİTAXTA	sif.;
İKİTAXTA	sif.;
İKİTAXTA	sif.;
İKİTAXTA	sif.;
İKİTAYLI	sif.;
İKİTAYLI	sif.;
İKİTAĞLI	sif.;
İKİTAĞLI	sif.;
İKİTELLİ	sif.;
İKİTELLİ	sif.;
İKİTEZLİKLİ	sif.;
İKİTONLUQ	sif.;
İKİTORLU	sif.;
İKİTOXUMLU	sif.;
İKİTUTAQLI	sif.;
İKİTİLLİ	sif.;
İKİTİNLİ	sif.;
İKİTİRLİ	sif.;
İKİTİRƏLİ	sif.;
İKİTİRƏLİK	is.;
İKİTƏBƏQƏLİ	sif.;
İKİTƏBƏQƏLİ	sif.;
İKİTƏBƏQƏLİK	is.;
İKİTƏKƏRLİ	sif.;
İKİTƏNƏFFÜSLÜ	sif.;
İKİTƏRKİBLİ	sif.;
İKİTƏRTİBLİ	sif.;
İKİTƏRƏFLİ	sif.;
İKİUCLU	sif.;
İKİUŞAQLI	sif.;
İKİVALENTLİ	sif.;
İKİVANNALI	sif.;
İKİVEDRƏLİK	sif.;
İKİVERSTLİK	sif.;
İKİVOLTLU	sif.;
İKİXƏTLİ	sif.;
İKİXƏTLİ	sif.;
İKİYAMACLI	sif.;
İKİYANLI	sif.;
İKİYARIMPERİODLU	sif.;
İKİYARPAQ	sif.;
İKİYARPAQLI	sif.;
İKİYARUSLU	sif.;
İKİYATAQLI	sif.;
İKİYAŞAR	sif.;
İKİYAŞLI	sif.;
İKİYELKƏNLİ	sif.;
İKİYERLİ	sif.;
İKİYOLLU	sif.;
İKİYUMRUQLU	sif.;
İKİYUVACIQLI	sif.;
İKİYUVALI	sif.;
İKİYÜZİLLİK	is.;
İKİZONALI	sif.;
İKİZİRVƏLİ	sif.;
İKİÇARXLI	sif.;
İKİÇARXLI	sif.;
İKİÇATILI	sif.;
İKİÇEVRƏLİ	sif.;
İKİÇUBUQLU	sif.;
İKİÇİN	zer.;
İKİÇİN	zer.;
İKİÇƏYİRDƏKLİ	sif.;
İKİÇƏYİRDƏKLİ	sif.;
İKİÇƏYİRDƏKLİLİK	is.;
İKİÖLÇÜLÜ	sif.;
İKİÖLÇÜLÜ	sif.;
İKİÖVRƏTLİ	sif.;
İKİÖVRƏTLİ	sif.;
İKİÖVRƏTLİLİK	is.;
İKİÖVRƏTLİLİK	is.;
İKİÜLGÜCLÜ	sif.;
İKİÜZLÜ	sif.;
İKİÜZLÜCƏSİNƏ	zer.;
İKİÜZLÜLÜK	is.;
İKİÜZVLÜ	sif.;
İKİİLLİK	sif.;
İKİİLLİK	sif.;
İKİİLLİKSİZ	sif.;
İKİİLÇİ	is.;
İKİİLÇİ	is.;
İKİİLÇİLİK	is.;
İKİİYNƏLİ	sif.;
İKİŞAHILIQ	is.;
İKİŞAHILIQ	is.;
İKİŞAŞKALI	sif.;
İKİŞPİNDELLİ	sif.;
İKİŞÜALI	sif.;
İKİŞƏKİLLİ	sif.;
İKİŞƏKİLLİ	sif.;
İKİŞƏKİLLİLİK	is.;
İKİŞƏR	zer.;
İKİŞƏR	zer.;
İKİŞƏR-İKİŞƏR	zer.;
İKİƏLLİ	zer.;
İKİƏLLİ	zer.;
İKİƏRLİ	sif.;
İKİƏRLİ	sif.;
İKİƏRLİLİK	is.;
İKİƏRLİLİK	is.;
İKİƏSASLI	sif.;
İKİƏSRLİK	sif.;
İKİƏSRLİK	sif.;
İKİƏTƏKLİ	sif.;
İKİƏVƏZLİ	sif.;
