GÖZ	f.;is.;
GÖZYAŞI-BALIQQULAĞI	is.;
GÖZYAŞI-BURUN	is.;
GÖZYAŞI-XƏLBİR	is.;
GÖZYAŞI-ƏNG	is.;
GÖZYORUCU	sif.;
GÖZYORUCULUQ	is.;
GÖZYUVASI	is.;
GÖZYUVASIALTI	is.;
GÖZYUVASIÜSTÜ	is.;
GÖZÇIXARAN	sif.;
GÖZÇÜ	is.;
GÖZÖNÜ	is.;
GÖZÜACLIQ	zer.;is.;
GÖZÜAÇIQLIQ	is.;
GÖZÜBAĞLI	sif.;zer.;
GÖZÜBAĞLICA	sif.;zer.;
GÖZÜBAĞLICALIQ	is.;
GÖZÜBAĞLILIQ	is.;
GÖZÜDOYMAZ	sif.;
GÖZÜDOYMAZLIQ	is.;
GÖZÜGÖTÜRMƏZLİK	is.;
GÖZÜGÖY	sif.;
GÖZÜGÖYLÜK	is.;
GÖZÜKÖLGƏLİ	sif.;zer.;
GÖZÜKÖLGƏLİLİK	is.;
GÖZÜMÇIXDIYA	is.;
GÖZÜQIPIQ	sif.;
GÖZÜQIPIQLIQ	is.;
GÖZÜQIRPIQ	sif.;
GÖZÜQIRPIQLIQ	is.;
GÖZÜTOX	sif.;
GÖZÜTOXLUQ	is.;
GÖZÜYAŞLI	sif.;
GÖZÜYAŞLILIQ	is.;
GÖZÜYUMULU	sif.;zer.;
GÖZÜYUMULULUQ	is.;
GÖZÜYUMUQ	sif.;zer.;
GÖZÜYUMUQLUQ	is.;
GÖZÜİTİ	sif.;
GÖZÜİTİLİK	is.;
GÖZƏ	is.;
GÖZƏDƏYMƏZ	is.;
GÖZƏDƏYƏN	sif.;
GÖZƏGÖRÜMLÜ	sif.;
GÖZƏGÖRÜNMƏZ	sif.;
GÖZƏGÖRÜNMƏZLİK	is.;
GÖZƏGƏLMƏLİ	sif.;
GÖZƏGƏLİMLİ	is.;
GÖZƏGƏLİMLİLİK	is.;
GÖZƏGƏLƏN	is.;
GÖZƏK	is.;
GÖZƏKLİ	sif.;
GÖZƏL	ba.;sif.;zer.;
GÖZƏL-GÖYÇƏK	ba.;sif.;zer.;
GÖZƏL-GÖZƏL	sif.;
GÖZƏLAĞA	is.;
GÖZƏLCƏ	sif.;
GÖZƏLCƏSİNƏ	zer.;
GÖZƏLDANIŞAN	is.;
GÖZƏLLİK	is.;
GÖZƏLLƏMƏ	is.;
GÖZƏLLƏN	f.;
GÖZƏLLƏNDİR	f.;
GÖZƏLLƏNDİRMƏ	f_is.;
GÖZƏLLƏNDİRMƏK	f.;
GÖZƏLLƏNDİRİL	f.;
GÖZƏLLƏNDİRİLMƏ	f_is.;
GÖZƏLLƏNDİRİLMƏK	f.;
GÖZƏLLƏNMƏ	f_is.;
GÖZƏLLƏNMƏK	f.;
GÖZƏLLƏT	f.;
GÖZƏLLƏTMƏ	f.;
GÖZƏLLƏŞ	f.;
GÖZƏLLƏŞDİR	f.;
GÖZƏLLƏŞDİRMƏ	is.;
GÖZƏLLƏŞDİRMƏK	f.;
GÖZƏLLƏŞDİRT	f.;
GÖZƏLLƏŞDİRTMƏ	f.;
GÖZƏLLƏŞDİRİLMƏ	f_is.;
GÖZƏLLƏŞDİRİLMƏK	mech.;
GÖZƏLLƏŞMƏ	f_is.;
GÖZƏLLƏŞMƏK	f.;
GÖZƏLÇƏ	is.;
GÖZƏLÇƏLİK	is.;
GÖZƏLƏ	f.;
GÖZƏLƏMƏ	f_is.;
GÖZƏLƏMƏK	f.;
GÖZƏM	is.;
GÖZƏMƏ	f_is.;
GÖZƏMƏK	f.;
GÖZƏN	is.;
GÖZƏNMƏ	f.;
GÖZƏT	is.;
GÖZƏTLƏ	f.;
GÖZƏTLƏMƏ	f_is.;
GÖZƏTLƏMƏK	f.;
GÖZƏTLƏN	f.;
GÖZƏTLƏNMƏ	f_is.;
GÖZƏTLƏNMƏK	mech.;
GÖZƏTMƏ	f_is.;
GÖZƏTMƏK	ed.;
GÖZƏTÇİ	is.;
GÖZƏTÇİLİK	is.;
GÖZƏYARI	zer.;
GÖZƏYARILIQ	is.;
GÖZƏÇARPAN	sif.;
GÖZƏŞİRİN	sif.;
GÖZƏŞİRİNLİK	is.;
